searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
солнечная долина;29;16.12.2018;солнечная долина;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018236567;1
Ambonnay;11;16.12.2018;ambonnay;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010361845;1
alta vista;17;16.12.2018;alta vista;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011445814;1
Wolf blasts yellow label;0;16.12.2018;wolf blass yellow label;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,017071667;1
Гентиана;0;16.12.2018;гентиана;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023671726;1
преступлений;5;16.12.2018;преступлений;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027970312;1
Виски;45;16.12.2018;виски;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01491343;1
 Barale Fratelli;0;16.12.2018;barale fratelli;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01469077;1
Хванчкара;32;16.12.2018;хванчкара;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024926717;1
Brut;100;16.12.2018;brut;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020382498;1
Черные глаза;1;16.12.2018;черные глаза;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023102872;1
Terrazas Cabernet Sauvignon;4;16.12.2018;terrazas cabernet sauvignon;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018620907;1
Ardbeg;7;16.12.2018;ardbeg;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010908071;1
клюква на коньяке;6;16.12.2018;клюква на коньяке;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012314473;1
Bartenura;6;16.12.2018;bartenura;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013330089;1
Cono Sur Bicicleta Sauvignon Blanc;1;16.12.2018;cono sur bicicleta sauvignon blanc;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,0097274;1
Proper;2;16.12.2018;proper;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001228045;1
Power;5;16.12.2018;power;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018217876;1
Brut;100;16.12.2018;brut;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023938454;1
абрау blanс de blancs;0;16.12.2018;абрау blanс de blancs;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026797795;1
мекс 14036;0;16.12.2018;микс 14036;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,018922958;1
Le fronde;3;15.12.2018;le fronde;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02435985;1
Глинтвейн;10;15.12.2018;глинтвейн;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002775075;1
Lavetti;7;15.12.2018;lavetti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013991628;1
Ром;45;15.12.2018;ром;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010298519;1
Ягирместер;0;15.12.2018;ягирместер;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011384175;1
Meridian brandy vsop;0;15.12.2018;meridian brandy vsop;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021359776;1
Арманьяк;45;15.12.2018;арманьяк;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027785875;1
Апаран;5;15.12.2018;aparan;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013409945;1
Delon2011;0;15.12.2018;delon2011;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016632216;1
CHENET;7;15.12.2018;chenet;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004896553;1
САПЕРАВИ СОЛНЕЧНАЯ ДОЛИНА;0;15.12.2018;саперави солнечная долина;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00455627;1
2017 Boira Pinot Grigio;1;15.12.2018;2017 boira pinot grigio;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023792867;1
Mildiani;13;15.12.2018;mildiani;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000780286;1
Аква натия;2;15.12.2018;аква натия;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009647556;1
массандра;45;15.12.2018;массандра;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024348055;1
Славянка;2;15.12.2018;славянка;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010305278;1
Текила дон алихандро;0;15.12.2018;текила дон алехандро;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,027243891;1
Мальвазия;4;15.12.2018;malvasia;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028308651;1
Metaxa;17;15.12.2018;metaxa;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004355211;1
водка;45;15.12.2018;водка;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02014133;1
Herisson;0;14.12.2018;herisson;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01197607;1
savignon blank;0;14.12.2018;savignon blank;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01904387;1
Brut Rose;45;14.12.2018;brut rose;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013305761;1
Жигулевское;13;14.12.2018;жигулевское;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007383315;1
Миниатюры;0;14.12.2018;миниатюры;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002818144;1
spumante;45;14.12.2018;spumante;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023119579;1
Mint’s;1;14.12.2018;mint’ s;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024393933;1
ламбруско;19;14.12.2018;lambrusco;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01159869;1
J.p;21;14.12.2018;j.p;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019849237;1
Херес;45;14.12.2018;херес;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000445349;1
Херес;45;14.12.2018;херес;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007766483;1
Macallan;22;14.12.2018;macallan;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018330344;1
Feist Extra Dry White;1;14.12.2018;feist extra dry white;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014062837;1
москато;0;14.12.2018;moscato;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022381989;1
онегин;8;14.12.2018;онегин;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010393747;1
LD28999;1;14.12.2018;ld28999;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016424528;1
спуманте;33;14.12.2018;spumante;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019120978;1
st19181;1;14.12.2018;st19181;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014886878;1
белуга;41;14.12.2018;белуга;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018936974;1
Chateau La Couspaude Saint-Emilion Grand Cru AOC;2;14.12.2018;chateau la couspaude saint-emilion grand cru aoc;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018285464;1
казумян;5;14.12.2018;казумян;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009492385;1
Шампанское;0;14.12.2018;шампанское;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016056726;1
Шампанское;0;14.12.2018;шампанское;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028542251;1
Шампанское;45;14.12.2018;шампанское;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003685612;1
NV PALAZZO NOBILE PROSECCO EXTRA DRY;0;14.12.2018;nv palazzo nobile prosecco extra dry;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005713063;1
Salgetino;2;14.12.2018;salgetino;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000130255;1
caroline bay;2;14.12.2018;caroline bay;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013859859;1
meursault;45;14.12.2018;meursault;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012105741;1
Daiginjo;14;14.12.2018;daiginjo;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004715804;1
пять озер;12;14.12.2018;пять озер;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021372369;1
Pilsner;16;14.12.2018;pilsner;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02117879;1
Prosecco Millesimato Extra Dry Multicolor;0;14.12.2018;prosecco millesimato extra dry multicolor;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005882057;1
джим бим;24;14.12.2018;джим бим;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022944539;1
Sarmientos Tarapaca Chardonnay;1;14.12.2018;sarmientos tarapaca chardonnay;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022344388;1
ла джойоза;11;13.12.2018;ла джойоза;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01697795;1
st20247;1;13.12.2018;st20247;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025391768;1
херес;35;13.12.2018;херес;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010391092;1
glenfiddich;23;13.12.2018;glenfiddich;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024002895;1
Муазон;4;13.12.2018;муазон;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015305901;1
macallan;45;13.12.2018;macallan;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00661557;1
amarone di valpolicella;9;13.12.2018;amarone di valpolicella;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007018494;1
365 Pomegranate Gevorkian Winery;0;13.12.2018;365 pomegranate gevorkian winery;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005869943;1
Moet;35;13.12.2018;moet;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027202962;1
Виски;45;13.12.2018;виски;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006628711;1
хванчкара;31;13.12.2018;хванчкара;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010866378;1
хванчкара;31;13.12.2018;хванчкара;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010172076;1
Akvadiv Hutorskaya;3;13.12.2018;akvadiv hutorskaya;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01137785;1
Les Pagodes de Cos;3;13.12.2018;les pagodes de cos;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021311158;1
хеннесси;38;13.12.2018;hennessy;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004814648;1
Syabry;9;13.12.2018;syabry;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022000726;1
вино мускат красного камня;0;13.12.2018;вино мускат красного камня;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013471784;1
Кава;45;13.12.2018;cava;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023880396;1
lenz moser;6;13.12.2018;lenz moser;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012208113;1
набор;45;13.12.2018;набор;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021752613;1
Creman;45;13.12.2018;creman;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019157591;1
ликер;45;13.12.2018;ликер;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022396858;1
ликер;24;13.12.2018;ликер;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02715292;1
Саранск;16;13.12.2018;саранск;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016355187;1
Anna de Codorniu;3;13.12.2018;anna de codorniu;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018061056;1
Нефть водка;0;13.12.2018;нефть водка;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019377515;1
Портвейн alegre;0;13.12.2018;портвейн alegre;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017726125;1
Фанагория;38;13.12.2018;fanagoria;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000417334;1
Коктебель;42;13.12.2018;коктебель;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003091652;1
ribera del duero;45;13.12.2018;ribera del duero;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006891408;1
самбука;34;13.12.2018;sambuca;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000729149;1
 Santa Muerte;2;13.12.2018;santa muerte;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026313372;1
Port Charlotte;1;13.12.2018;port charlotte;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005848702;1
Кремлевский;7;13.12.2018;кремлевский;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025764738;1
Кремлевский;7;13.12.2018;кремлевский;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00099461;1
Бахчисарай;12;13.12.2018;бахчисарай;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017624156;1
La Gioia;10;13.12.2018;la gioia;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011782833;1
Jaume Serra;14;13.12.2018;jaume serra;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021952376;1
Puni;5;13.12.2018;puni;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022085857;1
ballantines;0;13.12.2018;ballantine s;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;0,005319533;1
1968;16;13.12.2018;1968;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020586553;1
Riesling;45;13.12.2018;riesling;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010300587;1
абрау;24;12.12.2018;абрау;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018805815;1
 Elegance Grande Champagne;3;12.12.2018;elegance grande champagne;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010353536;1
мачомэн;3;12.12.2018;мачомэн;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027355124;1
Альминская долина Каберне Совиньон;3;12.12.2018;альминская долина каберне совиньон;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007106573;1
primocolle;0;12.12.2018;primocolle;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02146914;1
Glenmorangie Original 10 лет;0;12.12.2018;glenmorangie original 10 лет;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011130253;1
 Россо ди Монтальчино 2015 Паченти;0;12.12.2018;россо ди монтальчино 2015 паченти;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01681945;1
 Россо ди Монтальчино 2015 Паченти;0;12.12.2018;россо ди монтальчино 2015 паченти;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019059548;1
шираз;45;12.12.2018;shiraz;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022582241;1
шираз;45;12.12.2018;shiraz;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020622911;1
шираз;45;12.12.2018;shiraz;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025070677;1
эксп8379;1;12.12.2018;эксп8379;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026237614;1
блю кюрасао;15;12.12.2018;блю кюрасао;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023971464;1
NOY Araspel;2;12.12.2018;noy araspel;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015069651;1
Курвуазье ВСОП;5;12.12.2018;курвуазье всоп;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01256278;1
коктебель;42;12.12.2018;коктебель;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019647483;1
